dataset,detector,feature_extractor,use_best_ckpt,is_ood_label_in_train,ood_label,fpr_95,fpr_90,aupr,auroc,f1,mcc,adb_alpha,adb_step_size
rostd,DOC,bert,False,False,oos,0.8430442371312319,0.6860884742624641,0.7384390062094225,0.8337863739817987,0.4854041013268998,0.4924081956956621,,
rostd,DOC,bert,False,True,oos,0.0005799791207516529,0.00046398329660132234,0.9995848349145303,0.9998627570443063,0.9940351442850234,0.9918990112963902,,
rostd,DOC,bert,True,False,oos,0.8750096321620761,0.7500192643241522,0.6909002015653238,0.7932432620127943,0.49688548155246764,0.50204807580429,,
rostd,DOC,bert,True,True,oos,0.0003479874724509918,0.0002319916483006612,0.9997191110947125,0.9999077851967556,0.9938511326860842,0.9916472120272278,,
rostd,DOC,mpnet,False,False,oos,0.8935290295841484,0.787058059168297,0.647200631224087,0.7633272444910429,0.3601795616583047,0.4079038412191578,,
rostd,DOC,mpnet,False,True,oos,0.0006744914000527477,0.0006389918526815504,0.99800301850606,0.9996378415166698,0.9972549652833844,0.9962723193163296,,
rostd,DOC,mpnet,True,False,oos,0.7470782259759439,0.4941564519518883,0.8308870354756168,0.8898845259693628,0.6205533596837944,0.601475266037422,,
rostd,DOC,mpnet,True,True,oos,0.0,0.0,0.999956421898437,0.9999845151205624,0.9978994991113266,0.9971470822548606,,
rostd,DOC,use,False,False,oos,0.9232009203107467,0.8464018406214936,0.48782976282544255,0.6685379908847553,0.2323884367106371,0.2846127508520471,,
rostd,DOC,use,False,True,oos,0.00034798747245099175,0.00022669317425303537,0.9992070003803423,0.999841716377822,0.9959566553453015,0.9945066717769344,,
rostd,DOC,use,True,False,oos,0.8765347786671243,0.7530695573342487,0.6776359048754301,0.7890608993092431,0.39897698209718674,0.42795331096292294,,
rostd,DOC,use,True,True,oos,0.00046398329660132234,0.00023157529573730753,0.9991518894835266,0.9998258561073678,0.9957928802588997,0.9942849345449454,,
rostd,Entropy,bert,False,False,oos,0.800612412590018,0.6012248251800364,0.618101875115121,0.7659706729522139,0.5296046287367406,0.4146480149784224,,
rostd,Entropy,bert,True,False,oos,0.7075656570481107,0.49159030274910104,0.8078345142671056,0.8746384890661737,0.7028434120945134,0.6577397080898141,,
rostd,Entropy,mpnet,False,False,oos,0.8666953531413543,0.7317599656998495,0.7118723688081416,0.8113747044264983,0.34134615384615385,0.3935712753590006,,
rostd,Entropy,mpnet,True,False,oos,0.4885412696571494,0.38707806518965315,0.820219732412542,0.8936896957793661,0.7004645526156331,0.6587249903140289,,
rostd,Entropy,use,False,False,oos,0.8975291574124168,0.7946242553269501,0.6183608827682504,0.7508560792135106,0.2286202964652224,0.3035996896077951,,
rostd,Entropy,use,True,False,oos,0.7286019484120486,0.4814620357877643,0.687339616067655,0.8146665645603102,0.5507436570428696,0.5058232179103309,,
